,baseline,ppo,ppo_sp,ga_sp,random
ppo_spike_best,0.605 ± 1.014,-0.125 ± 0.519,-0.81 ± 1.586,-3.05 ± 1.627,2.14 ± 2.163
ppo_sp_spike_best,0.155 ± 1.015,4.72 ± 0.593,-1.415 ± 1.508,-1.845 ± 1.375,4.44 ± 0.804
ppo_spike_final,0.605 ± 0.999,-0.125 ± 0.519,-0.81 ± 1.586,-3.075 ± 1.622,2.275 ± 2.159
ppo_sp_spike_final,0.145 ± 1.012,4.71 ± 0.597,-1.435 ± 1.522,-1.835 ± 1.381,4.515 ± 0.721
ga_sp_spike,-0.52 ± 1.367,4.18 ± 0.994,0.25 ± 1.048,-0.59 ± 0.955,4.865 ± 0.37
