,baseline,ppo,ppo_sp,ga_sp,random
baseline,-0.108 ± 2.512,-1.292 ± 1.102,0.444 ± 0.991,-0.28 ± 0.682,4.88 ± 0.36
ppo,1.376 ± 1.178,0.008 ± 0.219,-0.084 ± 1.367,-3.108 ± 1.577,2.084 ± 2.234
ppo_sp,-0.36 ± 1.176,0.084 ± 1.512,-0.076 ± 0.898,-0.396 ± 0.737,4.824 ± 0.439
ga_sp,0.372 ± 0.7,3.1 ± 1.465,0.408 ± 0.733,0.004 ± 0.363,4.972 ± 0.188
random,-4.872 ± 0.368,-2.144 ± 2.213,-4.872 ± 0.346,-4.956 ± 0.205,-0.056 ± 2.559
