,baseline,ppo,ppo_sp,ga_sp,random
ppo_extended,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-2.0 ± 0.0,5.0 ± 0.0
ppo_sp_extended,1.0 ± 0.0,-1.0 ± 0.0,-1.0 ± 0.0,-1.0 ± 0.0,5.0 ± 0.0
ga_sp_extended,0.0 ± 0.0,5.0 ± 0.0,4.0 ± 0.0,-1.0 ± 0.0,5.0 ± 0.0
