,baseline,ppo,ppo_sp,ga_sp,random
ppo_obs_noise,-0.153 ± 0.979,-0.393 ± 0.683,-2.46 ± 1.591,-4.591 ± 0.813,2.28 ± 2.26
ppo_sp_obs_noise,-3.435 ± 1.468,-0.793 ± 2.168,-2.127 ± 1.688,-3.342 ± 1.443,4.561 ± 0.693
ga_sp_obs_noise,-4.872 ± 0.363,-2.074 ± 2.456,-4.71 ± 0.527,-4.918 ± 0.295,-0.138 ± 2.708
