,ppo_extended_mean,ppo_extended_std,ppo_sp_extended_mean,ppo_sp_extended_std,ga_sp_extended_mean,ga_sp_extended_std
ppo_obs_noise,-1.124,1.058,-1.904,1.656,-4.376,0.896
ppo_sp_obs_noise,-2.548,1.941,-2.104,1.571,-4.183,1.065
ga_sp_obs_noise,-1.693,2.377,-3.713,1.271,-4.977,0.15
