,baseline,ppo,ppo_sp,ga_sp,random
baseline,-0.9 ± 1.568,-1.005 ± 1.434,-0.85 ± 1.41,-0.76 ± 1.412,-0.965 ± 1.521
ppo,0.8 ± 1.273,0.69 ± 1.251,0.615 ± 1.31,0.695 ± 1.25,0.705 ± 1.199
ppo_sp,-0.945 ± 1.297,-0.965 ± 1.447,-0.96 ± 1.322,-0.91 ± 1.357,-1.035 ± 1.336
ga_sp,-1.72 ± 1.585,-1.73 ± 1.58,-1.91 ± 1.572,-1.86 ± 1.503,-1.78 ± 1.527
random,-4.85 ± 0.397,-4.835 ± 0.445,-4.86 ± 0.4,-4.855 ± 0.405,-4.865 ± 0.37
