,baseline_mean,baseline_std,ppo_mean,ppo_std,ppo_sp_mean,ppo_sp_std,ga_sp_mean,ga_sp_std,random_mean,random_std
baseline,-4.835,0.422,-4.945,0.228,-4.765,0.519,-4.98,0.14,1.485,2.443
ppo,-4.775,0.514,-4.97,0.171,-4.645,0.591,-4.99,0.099,1.41,2.427
ppo_sp,-4.795,0.472,-2.51,1.952,-4.795,0.451,-4.955,0.23,2.165,2.133
ga_sp,0.245,0.667,3.09,1.543,0.45,0.792,0.01,0.4,4.955,0.207
random,-4.865,0.37,-2.305,2.089,-4.825,0.418,-4.97,0.171,-0.165,2.467
